Genes
Aatf
Adm
Ahr
Alcam
Apex1
Arhgap39
Cd72
Chd4
Ilrun
Dnase2a
Eif2s2
Eif4a1
Fabp5
Prxl2a
Fchsd2
Fubp1
Fyn
G3bp1
Gbp5
Gclc
Gfer
Gid4
Gpr65
Hspa5
Hspa9
Hyou1
Il2ra
Kdm2b
Ltv1
M6pr
Mat2a
Mid1
Mreg
Ms4a4c
Mthfd1l
Mvd
Naa50
Nbn
Nfkb1
Nop16
Nop58
Nsun2
Nudt9
Oasl1
Pbdc1
Phgdh
Psme3
Pus1
Rcc2
Rnf213
Serbp1
Kmt5a
Shmt1
Slc16a1
Slc17a5
Smad3
Srsf7
Tardbp
Tor3a
Txnl4a
Utp18
Vegfa
Dcaf1
Zc3h12c
