Genes
9130401M01Rik
Abcc4
Amigo2
Aurkaip1
Banf1
Batf
BC035044
Bcl2l1
Cacybp
Canx
Casp4
Cbx1
Ccdc124
Ccdc50
Cct8
Cdc37
Cdk4
Coro2a
Cyc1
Dars
Dnaja1
Dnajc15
Dnmt3a
Eif2s3x
Eif5a
Emg1
Eno1
Niban1
Farsb
Fas
Glrx3
Gm13835
Grap
Hivep3
Hmgn3
Hsp90ab1
Hsp90b1
Hspa8
Hspd1
Hspe1
Icam1
Il4i1
Acod1
Kcnk5
Kpnb1
Ldha
Map2k1
Mlx
Mrps5
Mthfd1
Nampt
Ncf1
Nfkbie
Nme6
Nup62
P4ha1
Pde6d
Phb2
Plxnd1
Pnkp
Ppp2r5d
Psma4
Psma6
Psma7
Psmd1
Psmd12
Psme2
Psmg1
Ptprs
Ranbp1
Rasal1
Rilpl2
Scarb1
Sf3a3
Sfxn2
Slc25a39
Slc39a10
Slfn2
Smc2
Snrpa
Spcs3
Srsf1
St13
Stat1
Stat5a
Suclg1
Supt16
Swap70
Tada1
Tcp1
Tial1
Timm13
Trim30a
Ubtf
Uqcc2
Wee1
Xrcc1
Xxylt1
Zbp1
Zfp207
Zranb2
