Genes
0610010K14Rik
1110059E24Ri
1110059E24Rik
1810037I17Rik
Actg1
Adcy7
Adgre1
Adk
Aldh9a1
Anp32a
Arhgap11a
Arid3a
Atp5d
Atp5l
Atp5o
Axl
BC028528
Bcl11a
Bin2
Birc5
Bub1b
Capg
Cbx3
Ccnd2
Ccr1
Cd81
Cenpe
Cnp
Commd1
Commd10
Ctsc
Dhrs3
Dhx34
E2f3
Ebi3
Eif2a
Etv6
Evi2a
Evl
Ezh2
Fam111a
Fam3c
Fcmr
Fen1
Fgr
Fignl1
Grhpr
Grn
Gypc
Hhex
Hic1
H2ac12
H2bc6
Homer1
Idh2
Ifi27l2a
Incenp
Inpp4a
Jak3
Kcnn4
Kif22
Kif23
Klhl9
Kmo
Lasp1
Lck
Lmnb1
Lsp1
Ly86
Mcm5
Mef2b
Melk
Mis18bp1
Mki67
Mrpl18
Mrpl45
Msh6
Mtmr4
Napsa
Ncf4
Nckipsd
Ndufa10
Ndufa4
Nek2
Nek7
Nfam1
Nrp1
Pcna
Pdia3
Pfn1
Pik3r6
Pkm
Pld4
Plekhg2
Plxnc1
Pml
Pold1
Ppia
Ppp1ca
Prcp
Psmb8
Psmb9
Psme1
Ptbp1
Ptpn6
Ptprcap
Rab8b
Rac2
Rad51c
Rbl1
Reep5
Rgs10
Rgs3
Rpl3
Rps2
Rps6ka1
Rpsa
Rtca
Rxra
S100a10
Sash1
Selplg
Sgo1
Sh3kbp1
Shank1
Shisa8
Siah2
Siglecg
Sirpa
Slc25a4
Snx3
St14
St8sia6
Stim2
Tagln2
Tapbp
Tbc1d10c
Tle4
Tlr2
Tmem154
Tmem168
Tmem229b
Tnfaip8
Tnfrsf13b
Trim8
Tuba1b
Tubb5
Txn1
Tyk2
Uchl3
Vav1
Zfp217
